,datetime,description,icon
0,2025-04-07,Partly cloudy throughout the day.,partly-cloudy-day
1,2025-04-08,Partly cloudy throughout the day.,partly-cloudy-day
2,2025-04-09,Partly cloudy throughout the day.,partly-cloudy-day
3,2025-04-10,Partly cloudy throughout the day with rain.,rain
4,2025-04-11,Partly cloudy throughout the day.,partly-cloudy-day
5,2025-04-12,Partly cloudy throughout the day.,partly-cloudy-day
6,2025-04-13,Partly cloudy throughout the day.,partly-cloudy-day
7,2025-04-14,Partly cloudy throughout the day with rain.,rain
