,datetime,description,icon
0,2025-04-21,Partly cloudy throughout the day.,partly-cloudy-day
1,2025-04-22,Partly cloudy throughout the day with early morning rain.,rain
2,2025-04-23,Partly cloudy throughout the day with afternoon rain.,rain
3,2025-04-24,Cloudy skies throughout the day with rain.,rain
4,2025-04-25,Cloudy skies throughout the day with a chance of rain throughout the day.,rain
5,2025-04-26,Becoming cloudy in the afternoon.,partly-cloudy-day
6,2025-04-27,Partly cloudy throughout the day.,partly-cloudy-day
7,2025-04-28,Cloudy skies throughout the day with a chance of rain.,rain
