,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"São Paulo, SP, Brasil",2025-03-31,27.8,19.9,22.1,29.4,19.9,22.2,19.1,84.2,45.0,100,4.17,rain,0,0,30.2,19.8,36.1,1018.2,61.2,9.5,85.3,7.4,4,,2025-03-31T06:14:36,2025-03-31T18:06:28,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
1,"São Paulo, SP, Brasil",2025-04-01,28.6,20.0,23.3,29.6,20.0,23.5,19.3,79.4,0.0,0,0.0,,0,0,24.8,17.9,121.4,1019.1,68.0,10.1,104.5,8.9,5,,2025-04-01T06:14:59,2025-04-01T18:05:29,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
2,"São Paulo, SP, Brasil",2025-04-02,30.4,21.0,25.1,31.3,21.0,25.5,19.4,72.8,0.0,0,0.0,,0,0,42.5,15.5,13.2,1017.3,67.0,10.4,148.5,12.8,6,,2025-04-02T06:15:22,2025-04-02T18:04:31,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
3,"São Paulo, SP, Brasil",2025-04-03,28.4,20.4,23.4,29.6,20.4,23.5,20.0,82.1,1.5,100,8.33,rain,0,0,74.2,33.0,311.0,1017.2,74.6,10.0,95.6,8.1,5,,2025-04-03T06:15:44,2025-04-03T18:03:34,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
4,"São Paulo, SP, Brasil",2025-04-04,25.6,19.0,22.2,25.6,19.0,22.2,19.9,87.6,9.0,100,8.33,rain,0,0,42.8,25.1,157.4,1019.8,84.2,9.4,84.9,7.4,5,,2025-04-04T06:16:07,2025-04-04T18:02:36,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
5,"São Paulo, SP, Brasil",2025-04-05,18.6,15.6,16.8,18.6,15.6,16.8,14.7,87.9,0.0,0,0.0,,0,0,56.2,31.0,153.3,1026.4,88.9,9.0,47.0,4.0,2,,2025-04-05T06:16:30,2025-04-05T18:01:39,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
6,"São Paulo, SP, Brasil",2025-04-06,20.0,16.0,17.5,20.0,16.0,17.5,14.0,80.6,0.2,100,4.17,rain,0,0,51.1,25.8,130.8,1026.6,74.6,10.4,60.8,5.2,3,,2025-04-06T06:16:53,2025-04-06T18:00:42,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
7,"São Paulo, SP, Brasil",2025-04-07,21.6,16.0,18.3,21.6,16.0,18.3,14.3,78.8,0.0,0,0.0,,0,0,48.2,20.4,111.2,1022.9,74.5,10.4,76.8,6.7,3,,2025-04-07T06:17:16,2025-04-07T17:59:46,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
