,datetime,description,icon
0,2025-04-14,Partly cloudy throughout the day with rain.,rain
1,2025-04-15,Partly cloudy throughout the day.,partly-cloudy-day
2,2025-04-16,Partly cloudy throughout the day with morning rain.,rain
3,2025-04-17,Partly cloudy throughout the day.,partly-cloudy-day
4,2025-04-18,Partly cloudy throughout the day with rain.,rain
5,2025-04-19,Becoming cloudy in the afternoon with late afternoon rain.,rain
6,2025-04-20,Partly cloudy throughout the day with rain in the morning and afternoon.,rain
7,2025-04-21,Partly cloudy throughout the day.,partly-cloudy-day
