,datetime,description,icon
0,2025-03-31,Partly cloudy throughout the day with late afternoon rain.,rain
1,2025-04-01,Partly cloudy throughout the day.,partly-cloudy-day
2,2025-04-02,Partly cloudy throughout the day.,partly-cloudy-day
3,2025-04-03,Partly cloudy throughout the day with rain.,rain
4,2025-04-04,Partly cloudy throughout the day with rain.,rain
5,2025-04-05,Partly cloudy throughout the day.,partly-cloudy-day
6,2025-04-06,Partly cloudy throughout the day with morning rain.,rain
7,2025-04-07,Partly cloudy throughout the day.,partly-cloudy-day
