,datetime,description,icon
0,2025-04-18,Partly cloudy throughout the day with storms possible.,rain
1,2025-04-19,Partly cloudy throughout the day with rain.,rain
2,2025-04-20,Cloudy skies throughout the day with rain.,rain
3,2025-04-21,Cloudy skies throughout the day.,cloudy
4,2025-04-22,Cloudy skies throughout the day.,cloudy
5,2025-04-23,Partly cloudy throughout the day.,partly-cloudy-day
6,2025-04-24,Partly cloudy throughout the day with a chance of rain.,rain
7,2025-04-25,Cloudy skies throughout the day with a chance of rain.,rain
