,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"São Paulo, SP, Brasil",2025-04-18,27.3,19.0,22.0,27.8,19.0,22.1,17.9,78.6,9.4,100.0,50.0,rain,0,0,25.6,12.5,110.5,1016.9,72.2,14.1,152.9,13.3,8,30,2025-04-18T06:21:37,2025-04-18T17:49:56,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,"SBMT,SBKP,F7461,SBSP,SBGR"
1,"São Paulo, SP, Brasil",2025-04-19,26.1,17.9,20.8,26.1,17.9,20.8,16.7,78.8,7.0,96.8,45.83,rain,0,0,25.2,14.8,288.3,1013.6,58.4,19.8,210.3,18.2,8,10,2025-04-19T06:22:02,2025-04-19T17:49:06,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,
2,"São Paulo, SP, Brasil",2025-04-20,19.5,17.1,18.3,19.5,17.1,18.3,17.2,93.5,3.0,90.3,75.0,rain,0,0,32.0,15.5,162.0,1014.5,90.4,21.0,47.5,4.0,3,10,2025-04-20T06:22:27,2025-04-20T17:48:16,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,
3,"São Paulo, SP, Brasil",2025-04-21,19.3,16.1,17.1,19.3,16.1,17.1,15.1,88.7,0.7,19.4,29.17,rain,0,0,27.7,17.6,139.4,1015.3,96.7,18.9,76.3,6.6,4,10,2025-04-21T06:22:52,2025-04-21T17:47:28,0.79,Overcast,Cloudy skies throughout the day.,cloudy,
4,"São Paulo, SP, Brasil",2025-04-22,21.9,15.2,17.5,21.9,15.2,17.5,13.9,80.5,0.2,6.5,8.33,rain,0,0,26.6,16.6,127.8,1016.3,90.2,23.8,136.0,11.8,8,10,2025-04-22T06:23:17,2025-04-22T17:46:39,0.82,Overcast,Cloudy skies throughout the day.,cloudy,
5,"São Paulo, SP, Brasil",2025-04-23,26.4,15.3,20.0,26.4,15.3,20.0,15.1,74.8,0.1,22.6,4.17,rain,0,0,22.3,13.3,132.0,1014.8,63.5,24.1,200.3,17.1,7,10,2025-04-23T06:23:42,2025-04-23T17:45:52,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
6,"São Paulo, SP, Brasil",2025-04-24,24.3,18.4,20.6,24.3,18.4,20.6,17.4,82.4,11.6,48.4,16.67,rain,0,0,19.8,10.8,134.3,1012.9,82.9,16.6,120.6,10.5,6,10,2025-04-24T06:24:08,2025-04-24T17:45:05,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
7,"São Paulo, SP, Brasil",2025-04-25,22.9,17.5,19.7,22.9,17.5,19.7,18.4,91.9,22.3,58.1,25.0,rain,0,0,60.8,26.3,324.7,1007.5,100.0,21.5,76.6,6.6,3,10,2025-04-25T06:24:33,2025-04-25T17:44:19,0.93,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
