,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"São Paulo, SP, Brasil",2025-04-21,21.0,16.6,18.3,21.0,16.6,18.3,15.6,84.6,0.0,0.0,0.0,rain,0,0,25.6,18.0,162.3,1017.8,89.6,10.0,72.1,6.3,5,10,2025-04-21T06:22:52,2025-04-21T17:47:28,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83075099999,SBKP,F7461,SBSP,83721099999,SBGR,83780099999"
1,"São Paulo, SP, Brasil",2025-04-22,20.6,16.0,17.8,20.6,16.0,17.8,14.2,80.1,0.1,100.0,4.17,rain,0,0,21.2,19.8,144.6,1018.5,82.0,10.0,74.4,6.5,4,10,2025-04-22T06:23:17,2025-04-22T17:46:39,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"SBMT,SBKP,F7461,SBSP,SBGR"
2,"São Paulo, SP, Brasil",2025-04-23,23.6,16.9,19.1,23.6,16.9,19.1,15.8,81.6,0.1,100.0,4.17,rain,0,0,22.0,18.1,130.1,1017.9,81.3,11.3,101.4,8.7,4,10,2025-04-23T06:23:42,2025-04-23T17:45:52,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"SBMT,SBKP,F7461,SBSP,SBGR"
3,"São Paulo, SP, Brasil",2025-04-24,26.6,16.5,19.7,26.6,16.5,19.7,16.1,81.3,24.7,96.8,45.83,rain,0,0,28.1,19.4,133.0,1013.3,96.3,17.8,164.4,14.1,8,10,2025-04-24T06:24:08,2025-04-24T17:45:05,0.89,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,
4,"São Paulo, SP, Brasil",2025-04-25,20.4,17.1,18.3,20.4,17.1,18.3,17.4,94.3,5.0,100.0,66.67,rain,0,0,20.5,11.2,131.8,1012.1,100.0,17.9,44.3,3.8,2,10,2025-04-25T06:24:33,2025-04-25T17:44:19,0.93,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
5,"São Paulo, SP, Brasil",2025-04-26,25.8,17.0,20.5,25.8,17.0,20.5,16.9,81.6,0.7,41.9,20.83,rain,0,0,16.6,14.0,150.5,1012.8,29.7,24.0,208.8,18.0,8,10,2025-04-26T06:24:59,2025-04-26T17:43:34,0.96,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
6,"São Paulo, SP, Brasil",2025-04-27,27.5,17.6,21.5,27.5,17.6,21.6,16.5,75.6,0.9,29.0,20.83,rain,0,0,22.0,13.0,168.1,1012.6,22.7,23.9,212.8,18.4,8,10,2025-04-27T06:25:25,2025-04-27T17:42:50,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
7,"São Paulo, SP, Brasil",2025-04-28,21.2,17.3,18.8,21.2,17.3,18.8,16.5,86.9,3.4,61.3,16.67,rain,0,0,27.4,14.0,159.5,1014.3,96.6,20.7,94.9,8.2,4,10,2025-04-28T06:25:51,2025-04-28T17:42:07,0.03,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
