,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"São Paulo, SP, Brasil",2025-04-07,21.6,16.0,18.3,21.6,16.0,18.3,14.3,78.8,0.0,0,0.0,,0,0,48.2,20.4,111.2,1022.9,74.5,10.4,76.8,6.7,3,,2025-04-07T06:17:16,2025-04-07T17:59:46,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
1,"São Paulo, SP, Brasil",2025-04-08,25.6,15.0,20.0,25.6,15.0,20.0,15.8,77.5,0.0,0,0.0,,0,0,20.2,14.9,81.3,1019.8,54.5,10.3,128.0,11.1,5,,2025-04-08T06:17:40,2025-04-08T17:58:50,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
2,"São Paulo, SP, Brasil",2025-04-09,28.4,19.3,22.7,28.9,19.3,22.8,17.7,75.2,0.0,0,0.0,,0,0,40.3,18.0,58.0,1017.5,72.5,10.3,100.3,8.7,5,,2025-04-09T06:18:03,2025-04-09T17:57:54,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
3,"São Paulo, SP, Brasil",2025-04-10,25.0,18.4,20.7,25.0,18.4,20.7,18.7,88.6,1.5,100,12.5,rain,0,0,35.3,17.8,201.0,1016.9,71.1,9.7,150.3,13.1,7,,2025-04-10T06:18:26,2025-04-10T17:56:59,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
4,"São Paulo, SP, Brasil",2025-04-11,25.0,16.0,19.8,25.0,16.0,19.8,16.4,81.8,0.0,0,0.0,,0,0,30.2,19.2,158.2,1017.5,51.2,9.5,115.5,10.0,6,,2025-04-11T06:18:50,2025-04-11T17:56:04,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
5,"São Paulo, SP, Brasil",2025-04-12,26.0,16.0,20.3,26.0,16.0,20.3,16.7,81.1,0.0,0,0.0,,0,0,24.8,16.9,120.0,1018.1,52.0,10.1,103.7,8.9,5,,2025-04-12T06:19:13,2025-04-12T17:55:10,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
6,"São Paulo, SP, Brasil",2025-04-13,27.4,18.4,22.2,27.8,18.4,22.3,17.0,74.0,0.0,0,0.0,,0,0,32.0,16.5,25.7,1016.8,67.8,10.0,102.1,8.8,6,,2025-04-13T06:19:37,2025-04-13T17:54:16,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
7,"São Paulo, SP, Brasil",2025-04-14,22.0,18.0,19.8,22.0,18.0,19.8,17.5,87.0,5.1,100,8.33,rain,0,0,38.5,13.7,187.3,1018.0,85.6,9.6,57.3,5.0,3,,2025-04-14T06:20:01,2025-04-14T17:53:23,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
