,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"São Paulo, SP, Brasil",2025-04-14,22.0,18.0,19.8,22.0,18.0,19.8,17.5,87.0,5.1,100,8.33,rain,0,0,38.5,13.7,187.3,1018.0,85.6,9.6,57.3,5.0,3,10,2025-04-14T06:20:01,2025-04-14T17:53:23,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
1,"São Paulo, SP, Brasil",2025-04-15,25.0,15.4,19.7,25.0,15.4,19.7,16.3,81.9,0.0,0,0.0,rain,0,0,28.8,19.0,156.9,1018.5,74.3,9.8,100.8,8.6,4,10,2025-04-15T06:20:25,2025-04-15T17:52:31,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
2,"São Paulo, SP, Brasil",2025-04-16,24.6,18.6,20.8,24.6,18.6,20.8,17.5,82.4,0.1,100,4.17,rain,0,0,20.5,17.7,153.3,1016.6,72.2,8.7,70.5,6.2,3,10,2025-04-16T06:20:49,2025-04-16T17:51:38,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
3,"São Paulo, SP, Brasil",2025-04-17,26.4,18.4,21.7,26.4,18.4,21.7,17.5,78.4,0.0,0,0.0,rain,0,0,26.3,18.9,120.4,1018.6,62.8,9.8,81.7,7.1,4,30,2025-04-17T06:21:13,2025-04-17T17:50:47,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
4,"São Paulo, SP, Brasil",2025-04-18,26.4,18.4,21.0,26.4,18.4,21.0,18.0,84.0,40.0,100,8.33,rain,0,0,20.2,14.3,116.6,1018.4,71.1,9.3,83.8,7.2,5,10,2025-04-18T06:21:37,2025-04-18T17:49:56,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
5,"São Paulo, SP, Brasil",2025-04-19,27.0,18.4,21.6,28.4,18.4,21.7,18.6,83.9,11.0,100,4.17,rain,0,0,24.8,15.2,313.5,1016.1,60.9,9.6,90.1,7.8,5,30,2025-04-19T06:22:02,2025-04-19T17:49:06,0.72,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
6,"São Paulo, SP, Brasil",2025-04-20,21.0,18.0,19.4,21.0,18.0,19.4,17.5,88.5,3.6,100,8.33,rain,0,0,25.6,16.3,177.4,1017.2,87.2,9.8,55.6,4.8,3,10,2025-04-20T06:22:27,2025-04-20T17:48:16,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
7,"São Paulo, SP, Brasil",2025-04-21,21.0,16.5,18.3,21.0,16.5,18.3,15.6,84.6,0.0,0,0.0,rain,0,0,25.6,18.1,162.6,1017.8,89.6,10.0,72.1,6.3,5,10,2025-04-21T06:22:52,2025-04-21T17:47:28,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
